artist,apariciones,popularity
Trillville,1,50.00
"Jason Aldean",1,50.00
"Debelah Morgan",1,49.00
Fuel,1,49.00
"Fatman Scoop",1,49.00
"Frankie J",1,49.00
"Keri Hilson",2,49.00
"Sak Noel",1,49.00
"Nelly Furtado",5,48.80
JoJo,2,48.50
Brandy,3,48.33
Tamia,1,48.00
"Dirty Vegas",1,48.00
"Amanda Perez",1,48.00
Unk,1,48.00
Mann,1,48.00
Chip,1,48.00
"Lil' Kim",2,47.50
"The Wanted",2,47.50
Chicane,1,47.00
Five,1,47.00
"Charli Baltimore",1,47.00
"Sidney Samson",1,47.00
Scooter,2,46.50
Lemar,1,46.00
Meck,1,46.00
Orson,1,46.00
will.i.am,1,46.00
"Duck Sauce",1,46.00
"Matt Cardle",1,46.00
"Eric Prydz",3,45.67
Akon,8,45.25
"Big Brovaz",1,45.00
Daughtry,1,45.00
"Gareth Gates",2,44.00
"Samantha Mumba",1,43.00
"Liberty X",1,43.00
"Ida Corr",1,43.00
"Lil' Flip",1,42.00
"Brian McFadden",1,42.00
INNA,1,42.00
"Angie Martinez",1,40.00
"Blazin' Squad",1,40.00
Default,1,40.00
"Armand Van Helden",1,40.00
P!nk,9,39.67
"No Doubt",5,39.40
t.A.T.u.,1,39.00
"Professor Green",1,39.00
"Trey Songz",3,38.67
"Rachel Stevens",1,38.00
"Nick Lachey",1,37.00
"Snow Patrol",1,35.00
Shontelle,1,35.00
"Rascal Flatts",2,34.50
"Will Smith",1,34.00
"LL Cool J",3,33.33
Aaliyah,4,32.75
"Gigi D'Agostino",2,32.50
Hinder,2,32.50
"Natasha Bedingfield",2,32.00
Westlife,4,31.50
"Ray J",2,31.50
Cascada,2,31.50
"K-Ci & JoJo",1,30.00
"Mariah Carey",8,29.50
"Musiq Soulchild",2,29.00
"Miley Cyrus",3,26.33
"Mark Ronson",2,23.00
"Fedde Le Grand",2,19.50
JLS,2,19.50
Robyn,2,18.00
"Camille Jones",1,17.00
"Jay Sean",4,12.50
"Daddy Yankee",1,11.00
"The White Stripes",1,3.00
"The xx",1,2.00
Adele,3,1.67
"Shayne Ward",2,1.00
T-Pain,5,1.00
"Guru Josh Project",1,1.00
M.I.A.,1,1.00
"Yolanda Be Cool",1,1.00
"Aloe Blacc",1,1.00
Oasis,1,0.00
"DB Boulevard",1,0.00
"Basement Jaxx",2,0.00
"Electric Six",1,0.00
"Jim Jones",1,0.00
Lucenzo,1,0.00
"Tim Berg",1,0.00
"Two Door Cinema Club",1,0.00
"Alexandra Stan",1,0.00
"Nicki Minaj",1,0.00
